Link,Duration,Music,Likes,Comments,Saved,Hashtags,DatePosted,Views,LikesToViewsRatio,DayOfWeek,HourOfDay,Minute,HalfHour
https://www.tiktok.com/@_sharksnooze_/video/7296997524957564166,00:08,sonido original - halo,8,2,1,"['#tiktokmademebuyit', '#fyp', '#foryou', '#viral', '#mexico']",2023-11-02 16:37:13,516,1.550387596899225,Thursday,16,37,16.616666666666667
https://www.tiktok.com/@_sharksnooze_/video/7296968765332360453,00:14,Mil Veces - Anitta,14,0,1,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-11-02 14:45:38,369,3.7940379403794036,Thursday,14,45,14.75
https://www.tiktok.com/@_sharksnooze_/video/7296598351959559429,00:14,Mil Veces - Anitta,31,0,3,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-11-01 14:48:14,1353,2.2912047302291203,Wednesday,14,48,14.8
https://www.tiktok.com/@_sharksnooze_/video/7296238544933145861,00:07,Mil Veces - Anitta,4,0,2,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-31 15:32:00,655,0.6106870229007634,Tuesday,15,32,15.533333333333333
https://www.tiktok.com/@_sharksnooze_/video/7296231033475878150,00:14,Mil Veces - Anitta,12,1,0,"['#tiktokmademebuyit', '#fyp', '#viralvideo', '#foryou', '#mexico']",2023-10-31 15:02:51,618,1.9417475728155338,Tuesday,15,2,15.033333333333333
https://www.tiktok.com/@_sharksnooze_/video/7295868234308308230,00:14,Mil Veces - Anitta,3,0,0,"['#tiktokmademebuyit', '#fyp', '#viralvideo', '#foryou', '#mexico']",2023-10-30 15:35:01,220,1.3636363636363635,Monday,15,35,15.583333333333334
https://www.tiktok.com/@_sharksnooze_/video/7295862085211245829,00:14,Style (Taylor's Version) - Taylor Swift,19,1,0,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-30 15:11:09,222,8.558558558558559,Monday,15,11,15.183333333333334
https://www.tiktok.com/@_sharksnooze_/video/7295474953435057414,00:14,Mil Veces - Anitta,3,0,0,"['#tiktokmademebuyit', '#fy', '#viral', '#foryou', '#mexico']",2023-10-29 14:08:53,190,1.5789473684210527,Sunday,14,8,14.133333333333333
https://www.tiktok.com/@_sharksnooze_/video/7295138854506450182,00:07,Mil Veces - Anitta,5,0,2,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-28 16:24:39,679,0.7363770250368188,Saturday,16,24,16.4
https://www.tiktok.com/@_sharksnooze_/video/7292528044244274438,00:05,Mil Veces - Anitta,3,0,0,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-21 15:33:23,226,1.3274336283185841,Saturday,15,33,15.55
https://www.tiktok.com/@_sharksnooze_/video/7292148426547006726,00:06,Mil Veces - Anitta,18,0,2,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-20 15:00:15,6422,0.2802865151043289,Friday,15,0,15.0
https://www.tiktok.com/@_sharksnooze_/video/7291815965807922438,00:09,sonido original - sharksnooze,5,0,1,"['#tiktokmademebuyit', '#fyp', '#foryou', '#viral', '#mexico']",2023-10-19 17:30:09,252,1.984126984126984,Thursday,17,30,17.5
https://www.tiktok.com/@_sharksnooze_/video/7291777324238867718,00:09,Reggaeton Champagne - Bellakath & Dani Flow,37,3,2,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-19 15:00:11,16300,0.22699386503067487,Thursday,15,0,15.0
https://www.tiktok.com/@_sharksnooze_/video/7291413693760376069,00:11,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version - sped up 8282,4,0,1,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-18 15:29:07,224,1.7857142857142856,Wednesday,15,29,15.483333333333333
https://www.tiktok.com/@_sharksnooze_/video/7290686709560364294,00:10,Supra - crier,3,0,1,"['#tiktokmademebuyit', '#fyp', '#viral', '#foryou', '#mexico']",2023-10-16 16:28:24,174,1.7241379310344827,Monday,16,28,16.466666666666665
https://www.tiktok.com/@_sharksnooze_/video/7290676968494845189,00:07,Supra - crier,32,1,2,"['#tiktokmademebuyit', '#fyp', '#foryou', '#viral', '#mexico']",2023-10-16 15:50:16,884,3.619909502262444,Monday,15,50,15.833333333333334
